name,description
Spondylosis,即任何原因造成的脊椎退化，最常見的變化是椎間盤突出，超過四十歲的人普遍都會面臨這個問題，但有些人可能會在較早的年齡出現。雖然大多數患者沒有明顯症狀，但有些人可能會感到背痛。極少數患者甚至可能出現極度疼痛，甚至神經根受壓迫，進而導致肌肉功能受損。
Osteophyte formation,骨贅（俗稱骨刺）是生長在脊椎或關節周圍骨骼上的骨性隆起，通常在關節滑膜邊緣形成，是對關節軟骨損傷的反應，常見於退化性關節病。骨刺是骨軟骨性增生，常被認為是骨關節炎的標誌之一。除了表現為骨關節炎外，骨刺還可能導致骨折、神經肌肉結構受壓和手部骨關節炎中的新生成結節。
Osteoporosis,骨質疏鬆症是一種代謝性骨骼疾病，特徵為骨質減少和骨骼脆弱。根據世界衛生組織的定義，骨質疏鬆症的診斷標準是骨密度T值低於-2.5 SD（即相對於比年輕健康女性的平均值低 2.5 標準差 或更多）。骨質疏鬆症於影像上可以透過骨皮質厚度和骨小樑的厚度改變判斷，尤其是在典型部位（脊椎、髖部、骨盆、手腕、肱骨或肋骨）。性別、年齡、種族、家族史和體格大小都是影響骨鬆的因素。
Osteoblastic,成骨反應，在骨折癒合和骨骼發育過程中發揮關鍵作用，通常表現為骨組織的增生和密度增加。在X光影像中，可見到骨生成細胞所產生的新骨組織，呈現為骨質增厚或骨性腫塊。臨床上另外還可以評估癌症轉移程度，部分研究指出先前未記錄骨轉移的患者中觀察到成骨細胞反應，顯示癌症的隱匿性骨轉移的可能率較高。
Tendinosis,肌腱慢性退化症（tendinosis）是指肌腱在細胞水平上的慢性退化損傷。於X光下多半僅能看到伴隨的軟組織腫脹，主要以超音波檢查為主。許多用於治療肌腱慢性退化症的干預措施也在超音波引導下進行。此外，肌腱慢性退化症的併發症包括肌腱的收縮、肌腱粘連、肌肉萎縮以及功能喪失，甚至可能導致殘疾。
Osteoarthritis,(同21)又稱骨關節炎，是最常見的關節炎形式，常見於肥胖、老年、女性患者，於影像上表現關節間隙不對稱變窄、關節邊緣之軟骨呈現硬化之表現、骨贅的產生，或者關節退化性的侵蝕等等。因為其低成本性，於臨床上可以使用Kellgren and Lawrence classification等評分系統及合併病人症狀判斷介入性治療之必要及後續追蹤，但部分情況仍須更高階之檢查進行評估。
Callus,癒合組織、骨痂，通常是在骨骼受到創傷性破壞後自然發生的過程中，修復及重塑期形成，其會於骨折區域附近生成。
Widening of the mediastinum,縱膈增寬是指在X光片上觀察到的一種影像表現。通常縱膈寬度需要超過6至8公分時。通常在急診，需要先排危及生命的急性主動脈破裂或主動脈剝離。縱膈增寬可能有多種原因，包括胸主動脈瘤、主動脈剝離、創傷性主動脈破裂、肺門淋巴結疾病（感染性或惡性）、縱膈腫塊（如淋巴瘤、生殖細胞瘤、胸腺瘤）、縱膈炎、心包填塞、以及肋骨或胸椎骨折。
Malignancy,惡性腫瘤，泛指以不受控制的方式生長，可以侵入附近的組織並透過血液和淋巴系統擴散到身體的其他部位之腫瘤細胞。大部分惡性腫瘤影像上多半僅能暗示惡性，確切診斷通常需要切片檢查，如肺癌，影像上可能會呈現擴大或新的局部病變、合併淋巴結侵襲等等異常，更高階的影像可以看出邊界的不規則等等，每一種惡性腫瘤皆有屬於自己的特徵。
Inflammatory,發炎，指身體受到刺激後產生的一連串化學反應，如肥大細胞釋放腫瘤壞死因子，進而使淋巴細胞、吞噬細胞等免疫系統攻擊病原體。通常在影像上無法直接觀測到發炎反應，更多是通過其他表現推測出曾經發炎產生的變化，如COVID患者X光上的局部肺泡實質改變等。
Gallstones,膽結石，泛指膽道系統內任何地方的結石，通常在膽囊中，常見膽結石為膽固醇結石，好發在女性、中年、肥胖之病患，在胸部X光上僅有不到兩成可以在右下角看到一不透明物，目前臨床上傾向理學及超音波作為黃金標準。
Pigtail or drainage,引流管，於X光上呈現一清晰成像之管路，廣泛應用於多種場景，如氣胸、血胸、肝膿瘍、膽管，泌尿道結石阻塞等等，多利用X光確認管路位置正確。
Coronary stent,冠狀動脈支架，一種用於治療冠狀動脈疾病的經皮冠狀動脈介入治療工具，可於X光心臟顯影位置觀察到其金屬框架。
Mastectomy,乳房切除術，為較早期乳癌根除手術，可以藉由胸前的乳房陰影缺失、乳房植入物造成的疊影等觀察到。
Sternotomy,胸骨切開術是心臟手術中廣泛使用的主要切口技術。這種手術程序涉及切開胸骨以進入心臟和肺部，因心臟血管疾病的高發生率，因此常於冠狀動脈搭橋手術（coronary artery bypass graft）使用。胸骨切開術後的X光檢查可以評估有無縫合線斷裂、胸骨脫位、金屬線固定不當、骨頭切穿固定線、骨折和炎症等等情況。
Port a implantation,Port-A又稱為人工血管，是一種植入體內的中央靜脈通路裝置，適用於需要長期且重覆輸注藥物、血液、高營養液或其他液體的患者，於台灣最常見於癌症打化療病人身上，於放置完畢後，可以用X光檢查放置位置。它能夠避免靜脈重覆穿刺所造成的感染或不適，並在接受化學治療時減少藥物外滲的風險。通常植入於鎖骨下胸前平坦處，大小約為十元硬幣大小的凸起，並不影響個人日常生活、休閒及運動。
Stent implantation,動脈支架，用於血管成形術，是一種打開狹窄或阻塞的血管，利用支架支撐，為後方供血的手術，胸部X光最常見為冠狀動脈支架，可於X光心臟顯影位置觀察到其金屬框架。
Perm catheter insertion,希克曼(Hickman)導管，又稱Permcath，是一種植入人體的中央靜脈導管，專為需要短期重覆輸注藥物、血品、骨髓或經常抽血的病人而設計，於台灣常用於洗腎患者等待手部廔管。通常為雙管腔，可同時輸液及抽血。導管一端通常插入頸靜脈，使導管尖端位於上腔靜脈與心房交界處。導管的頂端會伸出胸部皮下組織。
Hickman,希克曼(Hickman)導管，又稱Permcath，是一種植入人體的中央靜脈導管，專為需要短期重覆輸注藥物、血品、骨髓或經常抽血的病人而設計，於台灣常用於洗腎患者等待手部廔管。通常為雙管腔，可同時輸液及抽血。導管一端通常插入頸靜脈，使導管尖端位於上腔靜脈與心房交界處。導管的頂端會伸出胸部皮下組織。
Pacemaker,植入式心臟節律器是胸部X光常見的醫療裝置，針對心律有問題的患者提供外力刺激心臟。依功能主要有兩種類型，心律調節器和自動植入式心律轉復除顫器 (automatic implantable cardioverter-defibrillators)，部分裝置兩者功能皆有。裝置包含脈衝產生器（電池組和控制單元，最常放置在鎖骨下區域的皮下）和帶有電極的導聯線，用於與心內膜或心肌接觸。
Tracheostomy,氣管造管，是在氣管切開手術後通過氣管造口插入的管道，通常是用來幫助需要長期呼吸器支持的患者有一個穩定的氣管開口。根據患者狀況，可能是暫時或永久性。與氣管內管不同，目前尚無普遍接受的影像指引，以確定成人患者的氣管造口管X光放置位置。通常會放置在管尖上端（即插入點）和氣管分叉點之間的中點，或位於鎖骨水平線上。
Vertebroplasty,經皮椎體成形術是一種影像引導下的治療程序，透過皮膚穿刺將手術用聚甲基丙烯酸甲酯（polymethylmethacrylate ）骨水泥注入患有疾病的椎體，提供疼痛緩解並強化因疾病而變弱的椎體骨骼。這項手術在治療脊椎壓迫性骨折方面顯示出良好效果，改善背痛與生活品質，但需注意骨水泥外漏可能造成神經、血管損傷，利用影像可以評估術後骨水泥位置。
Endotracheal tube,氣管插管，利用機械協助人體肺部進行氣體交換，是插入氣管以進行人工通氣的寬口徑塑膠管路，管子內有一條不透射線的條帶，以便在X光上可見。故臨床上在放置完畢後，通常透過胸部 X 光片進行評估，位置會放置在隆突上方 5 ± 2 公分，但隨著頸部位置和旋轉而明顯變化。如果氣管錯位比如插入太深，將導致右肺過度充氣和左肺塌陷，乃至右側張力性氣胸。
Nasogastric tube,在臨床上，鼻胃管的放置是常見的侵入式治療之一。放置後通常需要進行X光檢查以確保位置正確，因為錯誤的定位可能導致嚴重後果，甚至致命。正確放置的鼻胃管應具備以下特徵：首先，它應沿著中線下降，順著食道路徑，同時避開支氣管輪廓，確保通道暢通無阻。其次，X光檢查應顯示清晰的隆突或支氣管分隔，以確保管路正確。此外，鼻胃管應穿過橫膈膜的中線，並且其尖端應在左半膈下方可見。
Ejection fraction (%),左心室射出率是衡量心臟泵血效能的重要指標，這個指標描述的是每次心臟收縮時，左心室從心臟射出的血液比例，如果合併明顯的呼吸困難或水腫等症狀，基本上可以確定心臟衰竭的診斷，可以根據EF多少而使用不同種類的藥物。請注意，此數值是經由胸部X光估計獲得，可能與真實數值有落差。
Aortic regurgitation,主動脈逆流為一種瓣膜性疾病，可能為正常退化結果，也可因其他心臟疾病引起，輕微至中度逆流通常不伴隨任何症狀，嚴重逆流伴隨呼吸喘、水腫等情形。
Pulmonary regurgitation,肺動脈瓣逆流，是一種瓣膜性心臟病，輕微逆流可能為正常退化，嚴重逆流可能造成右心衰竭，伴隨呼吸喘、水腫等症狀。
Tricuspid regurgitation,三尖瓣逆流，是一種瓣膜性心臟病，輕微逆流可能為正常退化，嚴重逆流可能造成右心衰竭，伴隨呼吸喘、水腫等症狀。
Mitral regurgitation,二尖瓣逆流是一種瓣膜性疾病，症狀及治療方式與逆流嚴重度相關，此為心電圖預測結果，僅供參考，確定診斷仍須依靠心臟超音波檢查。
Hypertrophic cardiomyopathy,肥厚型心肌病（Hypertrophic Cardiomyopathy，HCM）通常由心肌中的異常基因引起，這些基因會使左心室的心臟壁變厚。增厚的心臟壁可能變得僵硬，進而降低每次心跳時心臟吸入和排出體內血液的量。HCM可能不會有症狀，但也可能在運動或努力時感到胸痛、呼吸急促、疲勞、心律不整、頭暈、昏厥、水腫等。HCM 患者預後大多良好，但少數 HCM 患者面臨心臟衰竭和猝死等併發症的風險。
Left atrium (mm),左心房正常大小介於2.7-4.0公分，心房大小與性別、年齡、自身疾病相關，此為胸部X光預測心房大小，僅供參考，確定診斷仍須依靠心臟超音波檢查。
Left ventricular mass index (g/m^2),此數值於左心室心肌量與身體質量指數有關，男性正常值為115以下，女性為95以下；此數值過高，暗示心肌肥厚，最常與高血壓相關；左心室質量指數仍須依靠心臟超音波或影像學檢查，此數值僅依胸部X光估算，若有疑問，請諮詢心臟科醫師。
Pulmonary artery systolic pressure (mm),肺動脈壓正常值應小於20mmHg，高肺動脈壓與心臟、肺部、系統性疾病或原發肺動脈壓有關，常見症狀以呼吸喘為主；此數值是根據胸部X光估算，僅供參考，診斷數值仍以心臟超音波檢查為準。
Albumin,白蛋白是血清中最豐富的蛋白質之一，佔總蛋白質的50%以上。主要由肝臟合成，其功能包括維持體液滲透壓以及運輸體內的藥物、代謝物、毒素和激素，臨床上應用廣泛，本身為評估肝功能重要指數，腎臟如腎病症候群、糖尿病腎病變等皆與白蛋白有關，臨床上有時候也會利用輸注白蛋白調整病患狀態。
Hemoglobin,血紅素（Hb）是紅血球中極重要的組成部分，其主要功能是將氧氣運送至全身各部位。在臨床上，血紅素值的變化常與某些血液疾病有關，對於貧血的診斷也相當關鍵。一般而言，血紅素值偏低可能表示存在貧血、失血、紅血球減少或營養不良等情況；而血紅素值偏高可能暗示有紅血球增生異常、心輸出量減少、脫水或肺部氣體交換不良等問題。雖然醫學上實證不足，但臨床上常根據血紅素值來判斷是否需要輸血紅素。
Tuberculosis,結核桿菌感染，大約95％的人會因自身的免疫力而未發病，台灣目前仍屬肺結核盛行區，臨床上多以肺結核為表現。症狀可能包括咳嗽、胸痛、體重減輕、倦怠、食慾不振，發燒、咳血等。目前臨床上多半利用丙型干擾素釋放試驗、塗片耐酸性染色鏡檢檢查、結核菌培養、分子診斷技術等方式判斷，在長期感染TB的患者上X光會呈現數種具有特色的變化，如空洞、粟粒性結核、鈣化肉芽腫。肺結核的治療通常需要長期抗生素治療，依我國法規，會有政府人員介入監督病患服用藥物。及時診斷和治療是防止疾病傳播的關鍵。
Syphilis,梅毒是一種由梅毒螺旋體引起的慢性性傳染病，可以侵犯幾乎全身之器官及組織，產生變化多端之臨床症狀。但梅毒也可以完全無臨床症狀，只能靠梅毒血清檢驗證實其存在，這種潛伏狀態即所謂潛伏性梅毒。梅毒主要由性交傳染，也可經由輸血感染，或婦女懷孕時罹患梅毒，經由胎盤而感染胎兒，造成先天性梅毒。診斷主要靠數種梅毒螺旋體試驗，如TPHA、TPPA等。治療以抗生素為主，如青霉素(penicillin )或頭孢菌素(Ceftriaxone)。依我國法律，醫療院所發現梅毒個案，應依法通報。
Mycoplasma,肺炎黴漿菌是一種非典型細菌，透過飛沫傳播，引起輕微的呼吸道感染，由於症狀相對於細菌性肺炎症狀較輕微，又被稱為「會走路的肺炎」。肺炎黴漿菌抗體試驗可檢測感染情況。症狀通潮持續1至4週，可能造成支氣管發炎或肺炎。肺炎症狀包括黏液痰、發燒、呼吸困難和胸痛。治療首選巨環類抗生素（macrolides）。
Hepatitis C,C 型肝炎是一種影響肝臟的病毒感染，可能導致急性或慢性疾病。它主要透過血液傳播，如共用針頭或接觸未篩檢的血液製品。症狀包括發燒、疲倦、噁心、腹痛和黃疸。臨床透過血清 C 型肝炎病毒抗體（anti-HCV）、C 型肝炎病毒核酸（HCV RNA）、C 型肝炎病毒抗原（HCV antigen）來評估C型肝炎。大多數感染者無症狀，但可能發展為慢性感染。慢性感染者有發生肝硬化乃至肝癌的風險。雖然沒有疫苗，但可以使用抗病毒藥物治療，由於直接抗病毒(direct-acting antiviral)的出現，不同於B型肝炎，早期發現和治療可以預防肝損傷，甚至可以全面性根除。
Hepatitis B,B型肝炎是肝炎的一種，可引起急性和慢性疾病。該病毒通常透過血液或其他體液在分娩過程中從母親傳染給嬰兒，以及與感染者性行為、不安全注射或接觸尖銳器傳播。根據世界衛生組織的估計，2019年有2.96億人患有慢性B型肝炎感染，每年新增感染者150萬人。2019年，B型肝炎導致估計82萬人死亡，主要死於肝硬化和肝細胞癌。目前針對B型肝炎沒有根治方法，但可以通過施打疫苗預防
HLA-B27,HLA-B27是人體內的一種特定基因。與HLA-B27基因相關的疾病包括僵直性脊椎炎等等血清陰性脊椎關節病變。僵直性脊椎炎是一種慢性的疾病，主要影響脊椎和關節，使其變得僵硬和疼痛。雖然大多數患有僵直性脊椎炎的患者都帶有HLA-B27基因，但僅有一部份HLA-B27陽性的人會發展為僵直性脊椎炎。檢測HLA-B27基因有助於診斷這些疾病，但診斷標準並不包含HLA-B27(+)。
Influenza A,流感病毒分為 A、B、C、D 四型，其中 A 型和 B 型是引起季節性流行的主要類型。目前主要流行的季節性流感病毒包括 A(H3N2)、A(H1N1)、B/Victoria 、B/Yamagata  等，但一般流感併發重症以感染 A 型流感病毒為主，知名的如2009的H1N1。A 型流感病毒具有多種亞型，可感染野生鳥類、家禽、豬、馬和人等哺乳類動物，並引起流行性感冒。在臨床上，常用的抗流感藥物包括克流感、瑞樂沙和瑞貝塔等。
Influenza B,流感病毒分為 A、B、C、D 四型，其中 A 型和 B 型是引起季節性流行的主要類型。目前主要流行的季節性流感病毒包括 A(H3N2)、A(H1N1)、B/Victoria、B/Yamagata  等。雖然都會發生基因重排、抗原重組，但B型流感病毒在人群中的演化速率要低於A型流感病毒。一般流感併發重症以感染 A 型流感病毒為主，但感染 B 型流感病毒亦可能發生嚴重併發症。在臨床上，常用的抗流感藥物包括克流感、瑞樂沙和瑞貝塔等。
Mortality risk,本指標為短期心臟和肺部疾病風險的綜合指標，風險越高代表您有越高的機會發生死亡事件，這些事件通常會需要即時的醫療介入才能避免。
Future MACE risk,本指標為長期重大心血管事件風險的綜合指標，重大心血管事件包含了急性心肌梗塞、中風、心因性死亡，風險越高代表您有越高的機會發生重大心血管事件，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物。
Future heart failure risk,本指標為長期心臟衰竭風險的指標，風險越高代表您有越高的機會發生心臟衰竭，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物。
Future dialysis risk,本指標為長期末期腎衰竭風險的指標，風險越高代表您有越高的機會發生末期腎衰竭，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物。
Future pacemaker risk,本指標為短期內是否需要安裝植入式心臟節律器的風險指標，您可能需要與您的醫師討論是否要進行進一步的檢查以確認是否需要安裝。
Future percutaneous coronary intervention risk,本指標為是否存在冠狀動脈心臟病的風險指標，如您現在存在高風險的狀況可能代表您的冠狀動脈有狹窄的情形，如不提前介入可能會導致後續發生急性心肌梗塞，您可能需要與您的醫師討論是否要進行進一步的檢查以確認是否需要安裝心臟支架。
CXR-gender,此項檢查，是透過心電圖預測您的性別，高風險或更高的機率代表有更高的機率為男性，僅是一項預測值，與身體、生理性別等無關；僅供參考。
CXR-age,心臟年齡通常與您的實際年齡一致，但若經評估後心臟年齡超過實際年齡5歲以上，未來將會有較高的風險發生重大心血管事件，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物治療。
Thoracic aortic aneurysm,胸主動脈瘤，指發生於胸部主動脈的動脈瘤，可能涉及一個或多個主動脈部位（主動脈根部、升主動脈、主動脈弓或降主動脈）。其中60％的胸主動脈瘤涉及主動脈根部和/或升主動脈。症狀有咳嗽、呼吸困難、吞嚥困難或聲音沙啞等。
Abdominal aortic aneurysm,腹主動脈瘤指腹部主動脈瘤直徑大於3.0cm。其中風險因子包括老年、男性、吸煙、家族史陽性以及其他大血管瘤的病史。可利用腹部電腦斷層來診斷，因此通常會建議對65以上的吸煙男性有一等親被診斷為腹主動脈瘤的男性追蹤檢查。對於大多數無症狀的腹主動脈瘤小於5.5cm的患者，通常以保守治療為主，太大或者長太快才需要外科介入。
T-score,骨質疏鬆症是一種代謝性骨骼疾病，特徵為骨質減少和骨骼脆弱。根據世界衛生組織的定義，骨質疏鬆症的診斷標準是骨密度T值低於-2.5 SD（即相對於比年輕健康女性的平均值低 2.5 標準差 或更多）。骨質疏鬆症於影像上可以透過骨皮質厚度和骨小樑的厚度改變判斷，尤其是在典型部位（脊椎、髖部、骨盆、手腕、肱骨或肋骨）。性別、年齡、種族、家族史和體格大小都是影響骨鬆的因素。
Breast cancer,BI-RADS（乳房造影報告與資料解讀系統）是美國放射線醫學會所制定的一套標準化報告系統，用於乳房攝影和乳房超音波檢查的結果解讀，用以判斷乳癌的可能性。它將乳房影像結果分為七個類別，從0到6，提供了一致性的判讀標準和追蹤建議。BI-RADS 0表示當前檢查未完成，需要進一步影像檢查，BI-RADS 1表示正常，BI-RADS 2表示良性發現，BI-RADS 3表示可能良性發現，BI-RADS 4表示懷疑異常，BI-RADS 5表示高度懷疑惡性腫瘤，而BI-RADS 6表示切片已證實為惡性腫瘤。基本上，會建議BI-RADS 4的病患進行切片，以確認是否為惡性。
Atrial fibrillation,心房顫動是一種心房異常放電的心律不整，會導致心房跳動不規則及心輸出量不規則。這種情況可能會導致心悸、胸悶、呼吸急促甚至暈厥，並會增加血栓形成及中風的風險。高風險患者應考慮以心電圖進行進一步檢查。
Future compression fracture risk,本指標為長期壓迫性骨折風險的指標，風險越高代表您有越高的機會發生壓迫性骨折，這通常與您的骨密度有關，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物。
Left ventricular dysfunction,嚴重左心室功能異常定義為左心室射出率35以下，是指左心室在收縮或舒張過程出現異常，影響了心臟有效泵血的能力。請注意，嚴重左心室功能異常需要透過心臟超音波或其他影像學檢查進行確認，胸部X光所預測出來的結果僅供參考。
Left atrial enlargement,左心房擴大，左心室正常大小介於2.7-4.0公分，心房大小與性別、年齡、自身疾病相關，此為胸部X光預測是否有左心房擴大情形，僅供參考，確定診斷仍須依靠心臟超音波檢查。
Pulmonary arterial hypertension,此篩檢是預測肺動脈壓高於50mmHg，高肺動脈壓與心臟、肺部、系統性疾病或原發肺動脈壓有關，常見症狀以呼吸喘為主，需要確定診斷，才可接受適當治療。
Aortic stenosis,主動脈狹窄為一種心臟瓣膜疾病，可能為正常退化過程，嚴重狹窄會造成心臟血流射出不足，出現頭暈、胸悶、甚至昏厥等症狀。
Pericardial effusion,心包膜積液，心臟被兩層膜包覆，兩層膜之間稱作心包腔，其間通常會有少量的心包膜積液。當心包膜積液增加時，會導致心包內壓迅速上升，壓迫心臟，阻礙心室舒張，造成血管壓力上升，血液淤積，心臟輸出量降低，血壓下降，出現心包填塞的症狀。心臟超音波可以評估心包膜積液，會顯示心臟外圍有一圈低回音區域。心包膜積液的病因包括風濕熱、結核病、甲狀腺功能低下、感染、腫瘤、心肌梗塞後心包炎、心臟手術或外力創傷等。治療原則是盡早清除積液以解除心臟壓迫，急性心包積液在100毫升時即可出現症狀，可先行心包腔穿刺放液。
Osteoporosis,骨質疏鬆症是一種代謝性骨骼疾病，特徵為骨質減少和骨骼脆弱。根據世界衛生組織的定義，骨質疏鬆症的診斷標準是骨密度T值低於-2.5 SD（即相對於比年輕健康女性的平均值低 2.5 標準差 或更多）。骨質疏鬆症於影像上可以透過骨皮質厚度和骨小樑的厚度改變判斷，尤其是在典型部位（脊椎、髖部、骨盆、手腕、肱骨或肋骨）。性別、年齡、種族、家族史和體格大小都是影響骨鬆的因素。
Left ventricular hypertrophy,左心室輕度肥厚，最長源自於長期高血壓，但也可能源自於瓣膜性心臟病或其他肥厚性心臟病，可能症狀包含心悸、心跳加快、呼吸急促等，也可能完全無症狀，長期可能增加心血管疾病或死亡風險，
Anemia,貧血是紅血球或血紅素不足，無法有效將氧氣運送至身體組織的問題，臨床上多使用血紅素值作為貧血依據。一般而言，血紅素值偏低可能表示存在貧血、失血、紅血球減少或營養不良等情況，而血紅素值偏高可能暗示有紅血球增生異常、心輸出量減少、脫水或肺部氣體交換不良等問題。雖然醫學上實證不足，但臨床上常根據血紅素值來判斷是否需要輸血紅素。
Hypoalbuminemia,低白蛋白血症發生於血液中白蛋白水平過低的情況。成人的白蛋白濃度通常介於35~50克/升（g/L）之間。本身為評估肝功能重要指數，腎臟如腎病症候群、糖尿病腎病變等皆與白蛋白有關，臨床上有時候也會利用輸注白蛋白調整病患狀態。
Low intracellular water,低細胞內液代表細胞內液低於同性別年齡之正常範圍。
High intracellular water,高細胞內液代表細胞內液高於同性別年齡之正常範圍。
Low extracellular water,低細胞外液代表細胞外液低於同性別年齡之正常範圍。
High extracellular water,高細胞外液代表細胞外液高於同性別年齡之正常範圍。
Percent total body water,Percent total body water是以百分比 (%) 為單位，是用來衡量人體總水分在整體體重中所佔比例的指標。它被廣泛應用於體組成分析和水分平衡評估中，特別是在健康管理或疾病監測中。其定義是全身總水分的質量除以全身體重。
Percent soft lean mass,Percent soft lean mass是以百分比 (%) 為單位，是用來衡量人體軟組織（包含肌肉與脂肪）在整體體重中所佔比例的指標。它被廣泛應用於體組成分析和肌肉量評估中，特別是在老年人或患有肌肉虛弱等狀況的人群中。其定義是全身軟組織的質量除以全身體重。
